iter	Passed	Remaining
0	48	14443
1	50	7514
2	53	5295
3	58	4328
4	61	3618
5	65	3198
6	67	2811
7	69	2540
8	74	2411
9	79	2294
10	83	2203
11	85	2050
12	90	1989
13	94	1929
14	98	1865
15	103	1845
16	106	1772
17	108	1699
18	111	1642
19	113	1592
20	115	1536
21	120	1522
22	124	1495
23	127	1462
24	130	1434
25	133	1410
26	136	1381
27	140	1367
28	145	1355
29	148	1338
30	150	1309
31	153	1288
32	156	1267
33	159	1248
34	163	1238
35	167	1231
36	171	1216
37	174	1203
38	178	1196
39	181	1181
40	185	1170
41	188	1160
42	193	1155
43	197	1151
44	200	1137
45	205	1132
46	209	1127
47	212	1113
48	213	1096
49	215	1078
50	218	1066
51	221	1055
52	223	1043
53	226	1029
54	228	1016
55	230	1003
56	232	990
57	234	980
58	237	968
59	239	956
60	241	947
61	243	934
62	245	924
63	247	913
64	250	905
65	252	895
66	254	885
67	256	875
68	258	864
69	261	858
70	263	851
71	266	844
72	269	838
73	271	829
74	273	820
75	276	813
76	278	806
77	281	801
78	283	792
79	286	788
80	290	784
81	294	782
82	298	780
83	300	773
84	304	769
85	306	761
86	308	755
87	313	754
88	317	752
89	320	748
90	323	742
91	327	740
92	331	736
93	333	730
94	336	726
95	339	720
96	341	713
97	343	707
98	345	700
99	347	694
100	351	692
101	353	686
102	359	688
103	363	685
104	366	680
105	368	674
106	370	668
107	373	663
108	375	657
109	378	653
110	380	648
111	382	641
112	384	636
113	387	632
114	391	629
115	394	626
116	397	621
117	400	617
118	404	615
119	407	611
120	409	605
121	411	600
122	414	595
123	417	592
124	421	589
125	423	584
126	425	579
127	428	576
128	431	571
129	435	569
130	439	566
131	443	564
132	446	560
133	452	560
134	453	554
135	458	552
136	460	548
137	464	545
138	467	541
139	471	538
140	474	534
141	477	531
142	480	527
143	482	522
144	484	517
145	488	514
146	489	509
147	493	506
148	495	502
149	498	498
150	502	496
151	505	492
152	508	489
153	511	484
154	513	480
155	516	476
156	518	472
157	521	468
158	524	464
159	527	461
160	529	456
161	533	454
162	535	450
163	538	446
164	542	444
165	545	440
166	548	436
167	551	433
168	554	429
169	556	425
170	558	421
171	560	417
172	563	413
173	565	409
174	567	405
175	571	402
176	574	399
177	580	397
178	584	394
179	586	390
180	589	387
181	593	384
182	597	382
183	599	378
184	604	375
185	608	372
186	611	369
187	612	365
188	615	361
189	621	359
190	625	357
191	629	353
192	630	349
193	636	347
194	640	344
195	646	343
196	649	339
197	657	338
198	659	334
199	662	331
200	665	327
201	668	324
202	673	321
203	676	318
204	680	315
205	682	311
206	686	308
207	688	304
208	692	301
209	694	297
210	697	294
211	700	290
212	702	287
213	704	283
214	707	279
215	710	276
216	713	272
217	715	269
218	718	265
219	721	262
220	722	258
221	727	255
222	729	252
223	731	248
224	733	244
225	737	241
226	739	237
227	742	234
228	744	230
229	746	227
230	750	224
231	756	221
232	759	218
233	764	215
234	766	212
235	772	209
236	776	206
237	780	203
238	786	200
239	791	197
240	796	194
241	798	191
242	803	188
243	805	184
244	810	182
245	813	178
246	815	174
247	818	171
248	819	167
249	821	164
250	823	160
251	825	157
252	828	153
253	830	150
254	833	147
255	835	143
256	837	140
257	841	136
258	843	133
259	845	130
260	849	126
261	852	123
262	854	120
263	856	116
264	858	113
265	860	110
266	863	106
267	865	103
268	868	100
269	872	96
270	875	93
271	877	90
272	881	87
273	883	83
274	886	80
275	888	77
276	891	74
277	893	70
278	895	67
279	897	64
280	900	60
281	903	57
282	909	54
283	914	51
284	917	48
285	920	45
286	922	41
287	927	38
288	929	35
289	933	32
290	936	28
291	938	25
292	944	22
293	948	19
294	950	16
295	952	12
296	955	9
297	960	6
298	964	3
299	969	0
